id,user_id,org_name,slug,org_type,reg_number,description,org_size,email,address,social_media,website,contact_number,contact_person,contact_nos_hod,contact_name_hod,contact_designation_hod,contact_no_focalpoint,contact_name_focalpoint,contact_designation_focalpoint,contact_nos_focalpoint,contact_email_focalpoint,contact_linkedin_focalpoint,staffprofile_active_no,staffprofile_percentage_paid_staff,staffprofile_volunteers_no,primary_activities,main_delivery_mode,existing_profiles,locations,district_id,city_id,status,created_at,updated_at,deleted_at,org_logo,overview,extra_address,uploads,photos,links,track_record,user_name,user_email,organization_type
1,1,none,non-organization-record,1,Trust150,"Vision To spearhead the protection of Sri Lanka’s environment as an active member of the conservation community.  Mission  To effectively share knowledge and expertise to support environmental protection and sustainability.  To connect different interest groups to consistently organize, mobilize, educate and campaign against environmental destruction  To promote awareness and projects that are vital for the sustainability of the country’s environment.  To Influence environmental policy through the conducting of research and knowledge enhancement.","11 - 30",kanchanafeo@gmail.com,"49/8, Fife Road, Colombo 5","[{""social_media"":""https:\/\/www.facebook.com\/feosrilanka""},{""social_media"":""https:\/\/www.youtube.com\/channel\/UCgJ3FVhtdzP0dNhDmd5VAXw""},{""social_media"":""https:\/\/www.instagram.com\/federationofenvironmentalorgsl\/?hl=en""},{""social_media"":""https:\/\/twitter.com\/feosrilanka""}]",https://feosrilanka.org/,"+94 766016554","Kanchanan Perera Kern","+94 77 444 3796","Dr Yohan Weerasuriya",Chairperson,"+94 766016554","Kanchana Perera Kern","Programme Manager","+94 77 444 3796",kanchanafeo@gmail.com,https://www.linkedin.com/company/feo-sri-lanka/,16,35,5,"Environmental conservation work","Research and ground level implementation",https://feosrilanka.org/,"[{""lat"":6.88643505809753,""lng"":79.86350917418753}]",1000,1,1,"2022-12-09 04:48:37","2022-12-13 07:56:59",,,,,[],[],,,FEO_Admin,admin@feo.lk,CSO/NGO
2,2,"Federation of Environmental Organisations",feosrilanka,1,Trust150,"a.	Educational development of vulnerable communities.
b.	Promote alternate livelihood strategy and improve sustainable income sources. 
c.	Encourage and Empower Women and Children for their protection and to fight for their Fundamental Rights.
d.	Improvement of Health and Nutrition status of the Communities, which were isolated by all sectors, for decades.
e.	Strengthening community structures and empowers the community to obtain their Fundamental Rights and UN recognized Human Rights, which were ignored to them for several decades.","11 - 30",kanchanafeo@gmail.com,"49/8, Fife Road, Colombo 5","[{""social_media"":""https:\/\/www.facebook.com\/feosrilanka""},{""social_media"":""https:\/\/www.youtube.com\/channel\/UCgJ3FVhtdzP0dNhDmd5VAXw""},{""social_media"":""https:\/\/www.instagram.com\/federationofenvironmentalorgsl\/?hl=en""},{""social_media"":""https:\/\/twitter.com\/feosrilanka""}]",https://feosrilanka.org/,"+94 766016554","Kanchanan Perera Kern","+94 77 444 3796","Dr Yohan Weerasuriya",Chairperson,"+94 766016554","Kanchana Perera Kern","Programme Manager","+94 77 444 3796",kanchanafeo@gmail.com,,16,35,5,"Environmental conservation work, test work, (Additional Work) [ / '","Research and ground level implementation",https://feosrilanka.org/,"[{""lat"":6.88643505809753,""lng"":79.86350917418753}]",1000,1,1,"2024-02-20 10:16:10","2024-02-22 11:20:43",,"[""2024\/02\/0214202411595565ccab3b84df6.jpeg""]",,,[],"[""2024\/02\/0214202412014265ccaba60176e.jpeg""]",,,Ashani,ashani@feo.lk,CSO/NGO
3,4,"Reforest Sri Lanka",reforestsrilanka,1,ffdgdfgfdg,"Sri Lankan citizens fighting climate change by using forest restoration and technology","31 - 60",info@reforestsrilanka.com,"335a, Sangabogama Rd, Angunawala, Peradeniya","[{""social_media"":""http:\/\/fb.com\/reforestsrilanka""}]",https://reforestsrilanka.com/,,,,,,,,,,,,,,,,,,"[{""lat"":7.2777613802417696,""lng"":80.63788400650945},{""lat"":7.683546549698008,""lng"":80.71926589909903}]",1000,1000,2,"2023-02-23 09:23:23","2023-02-23 09:23:23",,"[""2022\/12\/12142022024950639939ce0f3df.png""]",,,[],[],,,"Reforest Sri Lanka",info@reforestsrilanka.com,CSO/NGO
5,6,"The Pearl Protectors",thepearlprotectors639468efe24f1,1,,"We are an organisation dedicated to the conservation and protection of the Sri Lankan coastal belt and marine life in all its forms. Striving to make a difference, by initiating educational programs, to actively implementing and taking part in a variety of projects, The Pearl Protectors uses its resources for the betterment of the natural habitat of Sri Lanka.

We consist of several dedicated professionals and a team of active volunteers which is continuously growing.","11 - 30",wave@pearlprotectors.org,"Lake Road Boralasgamuwa","[{""social_media"":""https:\/\/www.facebook.com\/pearlprotectors""},{""social_media"":null}]",https://www.pearlprotectors.org,0716355865,"Don Muditha Katuwawala",,,,,,,,,,22,,1600,,,,"[{""lat"":6.843814090799212,""lng"":79.90276133389706},{""lat"":6.843313428225114,""lng"":79.90568163770939}]",1000,1000,1,"2022-12-16 18:04:57","2022-12-16 18:06:35",,"[""2022\/12\/12162022172256639ca970f404c.png""]",,,[],[],,,"The Pearl Protectors",thepearlprotectors@gmail.com,CSO/NGO
82,6,LIRNEasia,lirneasia65d5d272264ef,3,GA41,"LIRNEasia is a pro-poor, pro-market think tank dedicated to catalysing policy change in the Asia Pacific region. LIRNEaisa conducts in-depth, policy-relevant research at the nexus of economics, technology, and law, using multidisciplinary approaches, and focusing on the following sectors: digital, labour, education, social safety nets, disability, energy, agriculture among others. Within the digital sector, LIRNEasia focuses on a multitude of digital regulation and policy issues, including access, digital rights, misinformation, and data protection. Its work on the information disorder has ranged from a scoping study of the information disorder across the Asia Pacific, to developing local language corpora and machine learning models and AI tools to explore the efficacy of algorithmic detection of misinformation, to understanding the impacts of the information disorder on elections and societies, testing solutions that might help counter it,  to systematically examining the effectiveness of various counter measures including digital literacy programmes.  

Acknowledging the substantial investment in digital technology, LIRNEasia recognises its potential for economic and social progress. However, LIRNEasia emphasises that digital solutions alone are not the answer to improving lives. With a strong focus on inclusion, LIRNEasia works towards dismantling barriers to digital access and use imposed by laws and regulations, aiming for inclusive progress through better knowledge, information, and technology access. Through in-depth research and documentation of regional good practices, the organisation disseminates actionable knowledge to policymakers, regulators, service providers, and the media. Recent examples include providing policy input into data protection, cyber security and online safety legislation.","11 - 30",info@lirneasia.net,,,,"+94 (0)11 267 1160",,,,,,,,,,,,,,,,,,1000,1000,1,"2024-02-21 10:37:38","2024-02-21 10:51:14",,,,,,,,,"The Pearl Protectors",thepearlprotectors@gmail.com,"Research Organisation - nonprofit"
6,7,"The Environmental Foundation Guarantee Ltd",environmentalfoundation(guarantee)limited63947d1798347,1,,"Environmental Foundation (Guarantee) Limited is a public interest litigation organization in Sri Lanka with the tagline 'Justice for Nature', which has been in operation since 1981 with the objective of conserving Sri Lanka's natural resources through legal and scientific means. Our work ranges from litigation to conservation and scientific research, including collaborative efforts with government officials to develop national policies and legal reforms, implement projects and create awareness among the public.","11 - 30",mail@efl.lk,"171, Sri Gnanendra Road, Nawala.","[{""social_media"":""https:\/\/www.instagram.com\/environmentalfoundationlimited\/""},{""social_media"":""https:\/\/www.facebook.com\/environmentalfoundation""},{""social_media"":""https:\/\/twitter.com\/efl_1981""}]",http://www.efl.lk,,,,,,,,,,,https://www.linkedin.com/company/environmental-foundation-ltd,19,100,,"Legal, Scientific Research, and Policy Analysis","Research & Analysis, Ground level implementation - PET Collection, Legal Action",,"[{""lat"":6.88644531020173,""lng"":79.88923796158156},{""lat"":6.887345355638991,""lng"":79.88934531569184},{""lat"":6.88765105112387,""lng"":79.88929073786589}]",1000,1000,1,"2022-12-14 18:16:33","2022-12-14 18:16:33",,[],,,[],[],,,"Environmental Foundation (Guarantee) Limited",mail@efl.lk,CSO/NGO
7,8,"Sri Lanka Girl Guides Association",srilankagirlguidesassociation6396fc8478d95,1,L.55312,"We are the largest voluntary organization working with girls and young women in the country. Our membership spreads over all nine provinces, in every district.

Our Vision: To be recognized as a lead development organization for girls and young women.
Our Mission: To enable girls and young women to develop their fullest potential as responsible citizens of the country and the world.","Over 100",girlguidessrilanka@gmail.com,"10, Sir Marcus Fernando Mawatha, Colombo 7","[{""social_media"":""https:\/\/instagram.com\/slgga_official?igshid=YmMyMTA2M2Y=""},{""social_media"":""https:\/\/www.facebook.com\/search\/top?q=sri%20lanka%20girl%20guides%20(official)""},{""social_media"":""https:\/\/www.youtube.com\/@srilankagirlguidesassociat5284\/featured""}]",,0112695720,Dimanthi,0112695720,"Sulari Jayawardena","Chief Commissioner",,,,,,,,,,,,,[],1000,1000,0,"2022-12-14 09:36:52","2024-04-29 11:45:19",,[],,,[],[],,,"Sri Lanka Girl Guides Association",nanduniwj@gmail.com,CSO/NGO
8,9,"Centre for Environmental Law and Policy (CELP)",centreforenvironmentallawandpolicy(celp)639714023e655,3,"Faculty of Law, University of Colombo.","The Centre for Environmental Law and Policy (CELP) of the University of Colombo, intends to create a platform for research, policy development and collaboration among different fields including science, geography, economics, political science and business studies to build an environmentally conscious society.",,celp@law.cmb.ac.lk,"Centre for Environmental Law and Policy, Faculty of Law, University of Colombo, P.O. Box 1490, Colombo 3, Sri Lanka.","[{""social_media"":""https:\/\/www.youtube.com\/@celp-centreforenvironmenta1120""},{""social_media"":""https:\/\/www.facebook.com\/celpuoc\/""},{""social_media"":""https:\/\/www.instagram.com\/celp.srilanka\/""}]",https://celp.cmb.ac.lk/,+94112500942,"Prof. (Dr.) Kokila Konasinghe",+94112500942,"Prof. (Dr.) Kokila Konasinghe","Founding Director",+94112500942,"Prof. (Dr.) Kokila Konasinghe","Founding Director",,celp@law.cmb.ac.lk,https://www.linkedin.com/in/celp-sri-lanka-98537223b/,25,,,"Research in Environmental Law and Policy","Research, Publication, Awareness",https://celp.cmb.ac.lk/our-team/,"[{""lat"":6.899851017161738,""lng"":79.86168119843923}]",1000,1000,1,"2022-12-14 12:02:55","2022-12-14 12:02:55",,"[""2022\/12\/1214202207413263997e2ca67d7.jpeg""]",,,[],[],,,"Centre for Environmental Law and Policy (CELP)",celp@law.cmb.ac.lk,"Research Organisation - nonprofit"
10,11,"Lanka Software Foundation",lankasoftwarefoundation639967d520c03,1,GA249,"Our mission is to build great open source tech solutions for Sri Lanka and beyond.","1 - 10",sherazad@opensource.lk,,[],,,,,,,,,,,,,,,,,,,[],1000,1000,0,"2022-12-14 06:08:36","2024-04-29 11:44:25",,[],,,[],[],,,"Lanka Software Foundation",sherazad@opensource.lk,CSO/NGO
11,12,"Citizens' Collective",citizenscollective6399af3566be5,1,-,"Civil rights group","11 - 30",hello@citizenlk.com,,[],,,,,,,,,,,,,,,,,,,[],1000,1000,0,"2022-12-14 11:11:32","2024-04-29 12:07:47",,[],,,[],[],,,"Citizens' Collective",hello@citizenlk.com,CSO/NGO
